Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772849612,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772849613,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772849614,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772849615,40,,Aggregated,0.000000,0.000000,2100,2100,2100,2100,2100,2200,2200,2200,2200,2200,2200,14,0,2100.0,1528.133928592849,3.501300001516938,2160.2996999863535,490.92857142857144
1772849616,50,,Aggregated,0.000000,0.000000,2000,2100,2100,2100,2100,2100,2200,2200,2200,2200,2200,37,0,2000.0,1135.5012513671977,3.501300001516938,2160.2996999863535,468.64864864864865
1772849617,50,,Aggregated,0.666667,0.000000,7,2000,2000,2100,2100,2100,2100,2200,2200,2200,2200,66,21,5,975.6106151634771,2.859399886801839,2160.2996999863535,336.1666666666667
1772849618,50,,Aggregated,6.000000,0.000000,5,2000,2000,2000,2100,2100,2100,2100,2200,2200,2200,106,49,5,780.6249018978187,2.8139001224189997,2160.2996999863535,268.6698113207547
1772849619,50,,Aggregated,9.400000,1.200000,5,210,2000,2000,2100,2100,2100,2100,2200,2200,2200,148,80,4,697.3193405460365,2.734200097620487,2160.2996999863535,236.94594594594594
1772849620,50,,Aggregated,12.666667,4.833333,4,6,2000,2000,2000,2100,2100,2100,2200,2200,2200,188,106,4,549.8087372385619,2.647500019520521,2160.2996999863535,220.11702127659575
1772849621,50,,Aggregated,16.714286,8.000000,4,5,9,2000,2000,2100,2100,2100,2200,2200,2200,229,137,4,452.11454410630574,2.647500019520521,2160.2996999863535,208.75982532751092
1772849622,50,,Aggregated,18.625000,10.000000,4,5,6,11,2000,2100,2100,2100,2200,2200,2200,268,164,4,386.9201723884082,2.647500019520521,2160.2996999863535,201.28358208955223
1772849623,50,,Aggregated,21.111111,12.000000,4,5,6,7,2000,2100,2100,2100,2200,2200,2200,312,194,4,332.8788615375136,2.647500019520521,2160.2996999863535,195.10897435897436
1772849624,50,,Aggregated,23.000000,13.800000,4,4,6,7,2000,2000,2100,2100,2200,2200,2200,350,227,4,297.1877594292164,2.6325001381337643,2160.2996999863535,190.80285714285714
1772849625,50,,Aggregated,26.900000,16.500000,3,4,5,6,2000,2000,2100,2100,2200,2200,2200,390,258,3,267.05935230741323,2.6325001381337643,2160.2996999863535,187.28205128205127
1772849626,50,,Aggregated,31.200000,19.400000,3,4,5,6,2000,2000,2100,2100,2200,2200,2200,429,289,3,243.10210978749072,2.6325001381337643,2160.2996999863535,184.46153846153845
